comment,likes,cleaned,case_folded,tokenized,stopword_removed,stemmed,final_text,komentar_bersih,label
Seru banget sama sama ga waras 😭😭,1,Seru banget sama sama ga waras,seru banget sama sama ga waras,"['seru', 'banget', 'sama', 'sama', 'ga', 'waras']","['seru', 'banget', 'ga', 'waras']","['seru', 'banget', 'ga', 'waras']",seru banget ga waras,seru banget ga waras,Positif
Bisa bisanya aku rewatch ini Udah 4 kali💃🔥,0,Bisa bisanya aku rewatch ini Udah 4 kali,bisa bisanya aku rewatch ini udah 4 kali,"['bisa', 'bisanya', 'aku', 'rewatch', 'ini', 'udah', '4', 'kali']","['bisanya', 'rewatch', 'udah', '4', 'kali']","['bisa', 'rewatch', 'udah', '4', 'kali']",bisa rewatch udah 4 kali,bisa rewatch udah 4 kali,Positif
"setiap mereka melontarkan satu huruf dari mulut nya, iq penonton berkurang 1",0,setiap mereka melontarkan satu huruf dari mulut nya iq penonton berkurang 1,setiap mereka melontarkan satu huruf dari mulut nya iq penonton berkurang 1,"['setiap', 'mereka', 'melontarkan', 'satu', 'huruf', 'dari', 'mulut', 'nya', 'iq', 'penonton', 'berkurang', '1']","['melontarkan', 'huruf', 'mulut', 'nya', 'iq', 'penonton', 'berkurang', '1']","['lontar', 'huruf', 'mulut', 'nya', 'iq', 'tonton', 'kurang', '1']",lontar huruf mulut nya iq tonton kurang 1,lontar huruf mulut nya iq tonton kurang 1,Negatif
awkaokak gakkuat bgttt. apalagi pas jawab2an soallll😭😭😭😭😭,2,awkaokak gakkuat bgttt apalagi pas jawab2an soallll,awkaokak gakkuat bgttt apalagi pas jawab2an soallll,"['awkaokak', 'gakkuat', 'bgttt', 'apalagi', 'pas', 'jawab2an', 'soallll']","['awkaokak', 'gakkuat', 'bgttt', 'pas', 'jawab2an', 'soallll']","['awkaokak', 'gakkuat', 'bgttt', 'pas', 'jawab2an', 'soallll']",awkaokak gakkuat bgttt pas jawab2an soallll,awkaokak gakkuat bgttt pas jawab2an soallll,Positif
sangat menghibur diriku yg kurang mau belajar😅,0,sangat menghibur diriku yang kurang mau belajar,sangat menghibur diriku yang kurang mau belajar,"['sangat', 'menghibur', 'diriku', 'yang', 'kurang', 'mau', 'belajar']","['menghibur', 'diriku', 'belajar']","['hibur', 'diri', 'ajar']",hibur diri ajar,hibur diri ajar,Positif
plenger semua jir (kecuali sandy),0,plenger semua jir kecuali sandy,plenger semua jir kecuali sandy,"['plenger', 'semua', 'jir', 'kecuali', 'sandy']","['plenger', 'jir', 'kecuali', 'sandy']","['plenger', 'jir', 'kecuali', 'sandy']",plenger jir kecuali sandy,plenger jir kecuali sandy,Negatif
Ayo undang sandy lagi😆,0,Ayo undang sandy lagi,ayo undang sandy lagi,"['ayo', 'undang', 'sandy', 'lagi']","['ayo', 'undang', 'sandy']","['ayo', 'undang', 'sandy']",ayo undang sandy,ayo undang sandy,Netral
Sandy nyasar😭😭,0,Sandy nyasar,sandy nyasar,"['sandy', 'nyasar']","['sandy', 'nyasar']","['sandy', 'nyasar']",sandy nyasar,sandy nyasar,Negatif
ajakin maxwell SERU gsi,0,ajakin maxwell SERU gsi,ajakin maxwell seru gsi,"['ajakin', 'maxwell', 'seru', 'gsi']","['ajakin', 'maxwell', 'seru', 'gsi']","['ajakin', 'maxwell', 'seru', 'gsi']",ajakin maxwell seru gsi,ajakin maxwell seru gsi,Netral
Podcast apa-apaan ini 😭,0,Podcast apaapaan ini,podcast apaapaan ini,"['podcast', 'apaapaan', 'ini']","['podcast', 'apaapaan']","['podcast', 'apaapaan']",podcast apaapaan,podcast apaapaan,Negatif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1283"">21:23</a> &quot;Sebenernya biasa ya, kaya hari-hari orang pada umumnya ya, kaya makan nasi, ngerjain 325 soal sehari, makan bayam, ngerjain soal lagi, ya kaya orang biasa lah.&quot; BIASA DARI SIAPA GWA TANYAA!?!? SIAPA YG NGERJAIN 325 SOAL SEHARIII!!! Ya dia (Sandy) si..<br><br><a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1350"">22:30</a> &quot;Kerenn.&quot; Wkwkkw, ngakak bgt d bagian itu dengernya 😭😭😭<br><br><a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1380"">23:00</a> &quot;Kuis pintar aduhay.&quot; NGAKAKK 😭😭😭<br><br><a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1431"">23:51</a> Gambar kucingnya!!😭😼🤏🏻",1,Sebenernya biasa ya kaya harihari orang pada umumnya ya kaya makan nasi ngerjain soal sehari makan bayam ngerjain soal lagi ya kaya orang biasa lah BIASA DARI SIAPA GWA TANYAA SIAPA yang NGERJAIN SOAL SEHARIII Ya dia Sandy si Kerenn Wkwkkw ngakak banget d bagian itu dengernya Kuis pintar aduhay NGAKAKK Gambar kucingnya,sebenernya biasa ya kaya harihari orang pada umumnya ya kaya makan nasi ngerjain soal sehari makan bayam ngerjain soal lagi ya kaya orang biasa lah biasa dari siapa gwa tanyaa siapa yang ngerjain soal sehariii ya dia sandy si kerenn wkwkkw ngakak banget d bagian itu dengernya kuis pintar aduhay ngakakk gambar kucingnya,"['sebenernya', 'biasa', 'ya', 'kaya', 'harihari', 'orang', 'pada', 'umumnya', 'ya', 'kaya', 'makan', 'nasi', 'ngerjain', 'soal', 'sehari', 'makan', 'bayam', 'ngerjain', 'soal', 'lagi', 'ya', 'kaya', 'orang', 'biasa', 'lah', 'biasa', 'dari', 'siapa', 'gwa', 'tanyaa', 'siapa', 'yang', 'ngerjain', 'soal', 'sehariii', 'ya', 'dia', 'sandy', 'si', 'kerenn', 'wkwkkw', 'ngakak', 'banget', 'd', 'bagian', 'itu', 'dengernya', 'kuis', 'pintar', 'aduhay', 'ngakakk', 'gambar', 'kucingnya']","['sebenernya', 'ya', 'kaya', 'harihari', 'orang', 'ya', 'kaya', 'makan', 'nasi', 'ngerjain', 'sehari', 'makan', 'bayam', 'ngerjain', 'ya', 'kaya', 'orang', 'gwa', 'tanyaa', 'ngerjain', 'sehariii', 'ya', 'sandy', 'si', 'kerenn', 'wkwkkw', 'ngakak', 'banget', 'd', 'dengernya', 'kuis', 'pintar', 'aduhay', 'ngakakk', 'gambar', 'kucingnya']","['sebenernya', 'ya', 'kaya', 'harihari', 'orang', 'ya', 'kaya', 'makan', 'nasi', 'ngerjain', 'hari', 'makan', 'bayam', 'ngerjain', 'ya', 'kaya', 'orang', 'gwa', 'tanyaa', 'ngerjain', 'sehariii', 'ya', 'sandy', 'si', 'kerenn', 'wkwkkw', 'ngakak', 'banget', 'd', 'dengernya', 'kuis', 'pintar', 'aduhay', 'ngakakk', 'gambar', 'kucing']",sebenernya ya kaya harihari orang ya kaya makan nasi ngerjain hari makan bayam ngerjain ya kaya orang gwa tanyaa ngerjain sehariii ya sandy si kerenn wkwkkw ngakak banget d dengernya kuis pintar aduhay ngakakk gambar kucing,sebenernya ya kaya harihari orang ya kaya makan nasi ngerjain hari makan bayam ngerjain ya kaya orang gwa tanyaa ngerjain sehariii ya sandy si kerenn wkwkkw ngakak banget d dengernya kuis pintar aduhay ngakakk gambar kucing,Positif
CAPE BGTT KETAWA 😭,0,CAPE BGTT KETAWA,cape bgtt ketawa,"['cape', 'bgtt', 'ketawa']","['cape', 'bgtt', 'ketawa']","['cape', 'bgtt', 'ketawa']",cape bgtt ketawa,cape bgtt ketawa,Positif
"aku 2 mei, gmn?",0,aku 2 mei gmn,aku 2 mei gmn,"['aku', '2', 'mei', 'gmn']","['2', 'mei', 'gmn']","['2', 'mei', 'gmn']",2 mei gmn,2 mei gmn,Netral
SANDY SERU BGTT WKWK bisa nyambung ama hostnya yg (ga) waras,0,SANDY SERU BGTT WKWK bisa nyambung ama hostnya yang ga waras,sandy seru bgtt wkwk bisa nyambung ama hostnya yang ga waras,"['sandy', 'seru', 'bgtt', 'wkwk', 'bisa', 'nyambung', 'ama', 'hostnya', 'yang', 'ga', 'waras']","['sandy', 'seru', 'bgtt', 'wkwk', 'nyambung', 'ama', 'hostnya', 'ga', 'waras']","['sandy', 'seru', 'bgtt', 'wkwk', 'nyambung', 'ama', 'hostnya', 'ga', 'waras']",sandy seru bgtt wkwk nyambung ama hostnya ga waras,sandy seru bgtt wkwk nyambung ama hostnya ga waras,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1915"">31:55</a> gawat mereka menyanyikan lagu keramat",0,gawat mereka menyanyikan lagu keramat,gawat mereka menyanyikan lagu keramat,"['gawat', 'mereka', 'menyanyikan', 'lagu', 'keramat']","['gawat', 'menyanyikan', 'lagu', 'keramat']","['gawat', 'nyanyi', 'lagu', 'keramat']",gawat nyanyi lagu keramat,gawat nyanyi lagu keramat,Negatif
islam percaya zodiak??,0,islam percaya zodiak,islam percaya zodiak,"['islam', 'percaya', 'zodiak']","['islam', 'percaya', 'zodiak']","['islam', 'percaya', 'zodiak']",islam percaya zodiak,islam percaya zodiak,Negatif
Kok hitam layarnya,0,Kok hitam layarnya,kok hitam layarnya,"['kok', 'hitam', 'layarnya']","['hitam', 'layarnya']","['hitam', 'layar']",hitam layar,hitam layar,Negatif
"baru nonton, ternyata podcast ini seru bgttt",0,baru nonton ternyata podcast ini seru bgttt,baru nonton ternyata podcast ini seru bgttt,"['baru', 'nonton', 'ternyata', 'podcast', 'ini', 'seru', 'bgttt']","['nonton', 'podcast', 'seru', 'bgttt']","['nonton', 'podcast', 'seru', 'bgttt']",nonton podcast seru bgttt,nonton podcast seru bgttt,Positif
habis ini IQ sandy turun 12,0,habis ini IQ sandy turun 12,habis ini iq sandy turun 12,"['habis', 'ini', 'iq', 'sandy', 'turun', '12']","['habis', 'iq', 'sandy', 'turun', '12']","['habis', 'iq', 'sandy', 'turun', '12']",habis iq sandy turun 12,habis iq sandy turun 12,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=286"">4:46</a>  tenangin diri lo",0,tenangin diri lo,tenangin diri lo,"['tenangin', 'diri', 'lo']","['tenangin', 'lo']","['tenangin', 'lo']",tenangin lo,tenangin lo,Positif
podcast gak waras. makin stress gw nontonnya. tapi gpp sih.,2,podcast gak waras makin stress saya nontonnya tapi gapapa sih,podcast gak waras makin stress saya nontonnya tapi gapapa sih,"['podcast', 'gak', 'waras', 'makin', 'stress', 'saya', 'nontonnya', 'tapi', 'gapapa', 'sih']","['podcast', 'gak', 'waras', 'stress', 'nontonnya', 'gapapa', 'sih']","['podcast', 'gak', 'waras', 'stress', 'nontonnya', 'gapapa', 'sih']",podcast gak waras stress nontonnya gapapa sih,podcast gak waras stress nontonnya gapapa sih,Negatif
nonton ini aman nggak?,0,nonton ini aman nggak,nonton ini aman nggak,"['nonton', 'ini', 'aman', 'nggak']","['nonton', 'aman', 'nggak']","['nonton', 'aman', 'nggak']",nonton aman nggak,nonton aman nggak,Positif
Saya suka komedi penebalan orang waras,1,Saya suka komedi penebalan orang waras,saya suka komedi penebalan orang waras,"['saya', 'suka', 'komedi', 'penebalan', 'orang', 'waras']","['suka', 'komedi', 'penebalan', 'orang', 'waras']","['suka', 'komedi', 'tebal', 'orang', 'waras']",suka komedi tebal orang waras,suka komedi tebal orang waras,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=650"">10:50</a> ULTRAMAN MENTIONED",0,ULTRAMAN MENTIONED,ultraman mentioned,"['ultraman', 'mentioned']","['ultraman', 'mentioned']","['ultraman', 'mentioned']",ultraman mentioned,ultraman mentioned,Netral
asbun nya ngasbun bgt,10,asbun nya ngasbun banget,asbun nya ngasbun banget,"['asbun', 'nya', 'ngasbun', 'banget']","['asbun', 'nya', 'ngasbun', 'banget']","['asbun', 'nya', 'ngasbun', 'banget']",asbun nya ngasbun banget,asbun nya ngasbun banget,Negatif
"Halo kak. Mau request undang CHNCE main ke tempat kakak, CHNCE redebut dari UN1TY dan CHNCE baru banget ngeluarin single pertama mereka as CHNCE ditanggal 28 november 2025. Ditunggu ya, kak. Terimakasih banyak kak",1,Halo kak Mau request undang CHNCE main ke tempat kakak CHNCE redebut dari UN1TY dan CHNCE baru banget ngeluarin single pertama mereka as CHNCE ditanggal 28 november Ditunggu ya kak Terimakasih banyak kak,halo kak mau request undang chnce main ke tempat kakak chnce redebut dari un1ty dan chnce baru banget ngeluarin single pertama mereka as chnce ditanggal 28 november ditunggu ya kak terimakasih banyak kak,"['halo', 'kak', 'mau', 'request', 'undang', 'chnce', 'main', 'ke', 'tempat', 'kakak', 'chnce', 'redebut', 'dari', 'un1ty', 'dan', 'chnce', 'baru', 'banget', 'ngeluarin', 'single', 'pertama', 'mereka', 'as', 'chnce', 'ditanggal', '28', 'november', 'ditunggu', 'ya', 'kak', 'terimakasih', 'banyak', 'kak']","['halo', 'kak', 'request', 'undang', 'chnce', 'main', 'kakak', 'chnce', 'redebut', 'un1ty', 'chnce', 'banget', 'ngeluarin', 'single', 'as', 'chnce', 'ditanggal', '28', 'november', 'ditunggu', 'ya', 'kak', 'terimakasih', 'kak']","['halo', 'kak', 'request', 'undang', 'chnce', 'main', 'kakak', 'chnce', 'redebut', 'un1ty', 'chnce', 'banget', 'ngeluarin', 'single', 'as', 'chnce', 'tanggal', '28', 'november', 'tunggu', 'ya', 'kak', 'terimakasih', 'kak']",halo kak request undang chnce main kakak chnce redebut un1ty chnce banget ngeluarin single as chnce tanggal 28 november tunggu ya kak terimakasih kak,halo kak request undang chnce main kakak chnce redebut un1ty chnce banget ngeluarin single as chnce tanggal 28 november tunggu ya kak terimakasih kak,Netral
"SORRY OOT, katanyaaa klo 40 orng nge aminin insyaAllah bakal dikabulin. doain aku Juara Umum 1 , AAMIIN..",0,SORRY OOT katanyaaa kalau 40 orng nge aminin insyaAllah bakal dikabulin doain aku Juara Umum 1 AAMIIN,sorry oot katanyaaa kalau 40 orng nge aminin insyaallah bakal dikabulin doain aku juara umum 1 aamiin,"['sorry', 'oot', 'katanyaaa', 'kalau', '40', 'orng', 'nge', 'aminin', 'insyaallah', 'bakal', 'dikabulin', 'doain', 'aku', 'juara', 'umum', '1', 'aamiin']","['sorry', 'oot', 'katanyaaa', '40', 'orng', 'nge', 'aminin', 'insyaallah', 'dikabulin', 'doain', 'juara', '1', 'aamiin']","['sorry', 'oot', 'katanyaaa', '40', 'orng', 'nge', 'aminin', 'insyaallah', 'dikabulin', 'doain', 'juara', '1', 'aamiin']",sorry oot katanyaaa 40 orng nge aminin insyaallah dikabulin doain juara 1 aamiin,sorry oot katanyaaa 40 orng nge aminin insyaallah dikabulin doain juara 1 aamiin,Positif
Gue takut banget anak orang gajadi pinter lagi 😭😭😭,1,Gue takut banget anak orang gajadi pinter lagi,gue takut banget anak orang gajadi pinter lagi,"['gue', 'takut', 'banget', 'anak', 'orang', 'gajadi', 'pinter', 'lagi']","['gue', 'takut', 'banget', 'anak', 'orang', 'gajadi', 'pinter']","['gue', 'takut', 'banget', 'anak', 'orang', 'gajadi', 'pinter']",gue takut banget anak orang gajadi pinter,gue takut banget anak orang gajadi pinter,Negatif
Undang Jerome dong,0,Undang Jerome dong,undang jerome dong,"['undang', 'jerome', 'dong']","['undang', 'jerome']","['undang', 'jerome']",undang jerome,undang jerome,Netral
Yakin lo k*mon pinter?pikir2 lagi deh kalo ga tau hubungan  family 100 spotify ama dancow 😌 mending lo masuk circle ini.,0,Yakin lo kmon pinterpikir2 lagi deh kalo ga tau hubungan family spotify ama dancow mending lo masuk circle ini,yakin lo kmon pinterpikir2 lagi deh kalo ga tau hubungan family spotify ama dancow mending lo masuk circle ini,"['yakin', 'lo', 'kmon', 'pinterpikir2', 'lagi', 'deh', 'kalo', 'ga', 'tau', 'hubungan', 'family', 'spotify', 'ama', 'dancow', 'mending', 'lo', 'masuk', 'circle', 'ini']","['lo', 'kmon', 'pinterpikir2', 'deh', 'kalo', 'ga', 'tau', 'hubungan', 'family', 'spotify', 'ama', 'dancow', 'mending', 'lo', 'masuk', 'circle']","['lo', 'kmon', 'pinterpikir2', 'deh', 'kalo', 'ga', 'tau', 'hubung', 'family', 'spotify', 'ama', 'dancow', 'mending', 'lo', 'masuk', 'circle']",lo kmon pinterpikir2 deh kalo ga tau hubung family spotify ama dancow mending lo masuk circle,lo kmon pinterpikir2 deh kalo ga tau hubung family spotify ama dancow mending lo masuk circle,Negatif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=214"">3:34</a> GONG BGT WNAKKWIWKWKWKWKA",0,GONG banget WNAKKWIWKWKWKWKA,gong banget wnakkwiwkwkwkwka,"['gong', 'banget', 'wnakkwiwkwkwkwka']","['gong', 'banget', 'wnakkwiwkwkwkwka']","['gong', 'banget', 'wnakkwiwkwkwkwka']",gong banget wnakkwiwkwkwkwka,gong banget wnakkwiwkwkwkwka,Positif
mereka sefrekuensi njirrr,0,mereka sefrekuensi njirrr,mereka sefrekuensi njirrr,"['mereka', 'sefrekuensi', 'njirrr']","['sefrekuensi', 'njirrr']","['frekuensi', 'njirrr']",frekuensi njirrr,frekuensi njirrr,Positif
Kalian yakin mereka waras?,0,Kalian yakin mereka waras,kalian yakin mereka waras,"['kalian', 'yakin', 'mereka', 'waras']",['waras'],['waras'],waras,waras,Negatif
"ini ky nya sandy liat di podcast yg eps sm teh yaya ya yg niki bilang dia bilang seharusnya keren kalo tiba tiba surprise buka kemeja pamer baju jg tapi ga ada, ya ga si😭",0,ini kayak nya sandy liat di podcast yang eps sama teh yaya ya yang niki bilang dia bilang seharusnya keren kalo tiba tiba surprise buka kemeja pamer baju juga tapi ga ada ya ga si,ini kayak nya sandy liat di podcast yang eps sama teh yaya ya yang niki bilang dia bilang seharusnya keren kalo tiba tiba surprise buka kemeja pamer baju juga tapi ga ada ya ga si,"['ini', 'kayak', 'nya', 'sandy', 'liat', 'di', 'podcast', 'yang', 'eps', 'sama', 'teh', 'yaya', 'ya', 'yang', 'niki', 'bilang', 'dia', 'bilang', 'seharusnya', 'keren', 'kalo', 'tiba', 'tiba', 'surprise', 'buka', 'kemeja', 'pamer', 'baju', 'juga', 'tapi', 'ga', 'ada', 'ya', 'ga', 'si']","['kayak', 'nya', 'sandy', 'liat', 'podcast', 'eps', 'teh', 'yaya', 'ya', 'niki', 'bilang', 'bilang', 'keren', 'kalo', 'surprise', 'buka', 'kemeja', 'pamer', 'baju', 'ga', 'ya', 'ga', 'si']","['kayak', 'nya', 'sandy', 'liat', 'podcast', 'eps', 'teh', 'yaya', 'ya', 'nik', 'bilang', 'bilang', 'keren', 'kalo', 'surprise', 'buka', 'kemeja', 'pamer', 'baju', 'ga', 'ya', 'ga', 'si']",kayak nya sandy liat podcast eps teh yaya ya nik bilang bilang keren kalo surprise buka kemeja pamer baju ga ya ga si,kayak nya sandy liat podcast eps teh yaya ya nik bilang bilang keren kalo surprise buka kemeja pamer baju ga ya ga si,Netral
LUCUUUU BGT WKWKWKWKW,0,LUCUUUU banget WKWKWKWKW,lucuuuu banget wkwkwkwkw,"['lucuuuu', 'banget', 'wkwkwkwkw']","['lucuuuu', 'banget', 'wkwkwkwkw']","['lucuuuu', 'banget', 'wkwkwkwkw']",lucuuuu banget wkwkwkwkw,lucuuuu banget wkwkwkwkw,Positif
Sejak kapan sandy kayak begini,0,Sejak kapan sandy kayak begini,sejak kapan sandy kayak begini,"['sejak', 'kapan', 'sandy', 'kayak', 'begini']","['sandy', 'kayak']","['sandy', 'kayak']",sandy kayak,sandy kayak,Negatif
meleng dikit ganti topik 😭,0,meleng dikit ganti topik,meleng dikit ganti topik,"['meleng', 'dikit', 'ganti', 'topik']","['meleng', 'dikit', 'ganti', 'topik']","['meleng', 'dikit', 'ganti', 'topik']",meleng dikit ganti topik,meleng dikit ganti topik,Negatif
EP TERKOCYAAAAAAAK,0,EP TERKOCYAAAAAAAK,ep terkocyaaaaaaak,"['ep', 'terkocyaaaaaaak']","['ep', 'terkocyaaaaaaak']","['ep', 'terkocyaaaaaaak']",ep terkocyaaaaaaak,ep terkocyaaaaaaak,Positif
Bwahahaaa ganyangka kalian nyambung,0,Bwahahaaa ganyangka kalian nyambung,bwahahaaa ganyangka kalian nyambung,"['bwahahaaa', 'ganyangka', 'kalian', 'nyambung']","['bwahahaaa', 'ganyangka', 'nyambung']","['bwahahaaa', 'ganyangka', 'nyambung']",bwahahaaa ganyangka nyambung,bwahahaaa ganyangka nyambung,Positif
baru kali ini dalam podcast ini yg d undang waras,0,baru kali ini dalam podcast ini yang d undang waras,baru kali ini dalam podcast ini yang d undang waras,"['baru', 'kali', 'ini', 'dalam', 'podcast', 'ini', 'yang', 'd', 'undang', 'waras']","['kali', 'podcast', 'd', 'undang', 'waras']","['kali', 'podcast', 'd', 'undang', 'waras']",kali podcast d undang waras,kali podcast d undang waras,Netral
🗣&quot;Lu pinter emang&quot; sandy:👀🥶🤨,0,Lu pinter emang sandy,lu pinter emang sandy,"['lu', 'pinter', 'emang', 'sandy']","['lu', 'pinter', 'emang', 'sandy']","['lu', 'pinter', 'emang', 'sandy']",lu pinter emang sandy,lu pinter emang sandy,Positif
ngalor ngidul gini pembahasan nya😭,1,ngalor ngidul gini pembahasan nya,ngalor ngidul gini pembahasan nya,"['ngalor', 'ngidul', 'gini', 'pembahasan', 'nya']","['ngalor', 'ngidul', 'gini', 'pembahasan', 'nya']","['ngalor', 'ngidul', 'gin', 'bahas', 'nya']",ngalor ngidul gin bahas nya,ngalor ngidul gin bahas nya,Negatif
Pokoknya harus jadi tuh family 100,1,Pokoknya harus jadi tuh family,pokoknya harus jadi tuh family,"['pokoknya', 'harus', 'jadi', 'tuh', 'family']","['pokoknya', 'tuh', 'family']","['pokok', 'tuh', 'family']",pokok tuh family,pokok tuh family,Positif
Gelisah ih nontonnya,1,Gelisah ih nontonnya,gelisah ih nontonnya,"['gelisah', 'ih', 'nontonnya']","['gelisah', 'ih', 'nontonnya']","['gelisah', 'ih', 'nontonnya']",gelisah ih nontonnya,gelisah ih nontonnya,Negatif
wkwkwk,0,wkwkwk,wkwkwk,['wkwkwk'],['wkwkwk'],['wkwkwk'],wkwkwk,wkwkwk,Positif
satu spesies ternyata,0,satu spesies ternyata,satu spesies ternyata,"['satu', 'spesies', 'ternyata']",['spesies'],['spesies'],spesies,spesies,Positif
sakit perut aku wak 😭😭😭😭🤣🤣🤣,0,sakit perut aku wak,sakit perut aku wak,"['sakit', 'perut', 'aku', 'wak']","['sakit', 'perut', 'wak']","['sakit', 'perut', 'wak']",sakit perut wak,sakit perut wak,Positif
here i am liking the comments from waras peeps,0,here i am liking the comments from waras peeps,here i am liking the comments from waras peeps,"['here', 'i', 'am', 'liking', 'the', 'comments', 'from', 'waras', 'peeps']","['here', 'i', 'am', 'liking', 'the', 'comments', 'from', 'waras', 'peeps']","['here', 'i', 'am', 'liking', 'the', 'comments', 'from', 'waras', 'peeps']",here i am liking the comments from waras peeps,here i am liking the comments from waras peeps,Netral
nyangka gak lu pada,0,nyangka gak lu pada,nyangka gak lu pada,"['nyangka', 'gak', 'lu', 'pada']","['nyangka', 'gak', 'lu']","['nyangka', 'gak', 'lu']",nyangka gak lu,nyangka gak lu,Negatif
sandy definisi orang pinter tapi bisa lucu 😂,0,sandy definisi orang pinter tapi bisa lucu,sandy definisi orang pinter tapi bisa lucu,"['sandy', 'definisi', 'orang', 'pinter', 'tapi', 'bisa', 'lucu']","['sandy', 'definisi', 'orang', 'pinter', 'lucu']","['sandy', 'definisi', 'orang', 'pinter', 'lucu']",sandy definisi orang pinter lucu,sandy definisi orang pinter lucu,Positif
bru jg mulai dh kejawa w,0,bru juga mulai dh ketawa w,bru juga mulai dh ketawa w,"['bru', 'juga', 'mulai', 'dh', 'ketawa', 'w']","['bru', 'dh', 'ketawa', 'w']","['bru', 'dh', 'ketawa', 'w']",bru dh ketawa w,bru dh ketawa w,Positif
